"A","Agilent Technolog","1/17/2014",60.71,0.81,28.81
"AA","Alcoa Inc. Common","1/17/2014",11.36,1.09,N/A
"AAI","AAI","N/A",0.00,N/A,N/A
"AAP","Advance Auto Part","1/17/2014",118.44,0.20,21.33
"AAR","AAR","N/A",0.00,N/A,N/A
"AAV","Advantage Oil & G","1/17/2014",4.33,N/A,N/A
"AB","Allianceberstein ","1/17/2014",22.81,6.96,16.78
"ABA","ABA","N/A",0.00,N/A,N/A
"ABB","ABB Ltd Common St","1/17/2014",27.09,2.76,21.42
"ABC","AmerisourceBergen","1/17/2014",70.53,1.23,38.19
"ABD","ABD","N/A",0.00,N/A,N/A
"ABG","Asbury Automotive","1/17/2014",49.44,N/A,14.52
"ABH","ABH","N/A",0.00,N/A,N/A
"ABI","Safety First Trus","1/16/2014",22.396,N/A,N/A
"ABK","ABK","N/A",0.00,N/A,N/A
"ABM","ABM Industries In","1/17/2014",27.80,1.62,21.36
eBergen","1/17/2014",70.53,1.23,38.19
"ABD","ABD","N/A",0.00,N/A,N/A
"ABG","Asbury Automotive","1/17/2014",49.44,N/A,14.52
"ABH","ABH","N/A",0.00,N/A,N/A
